"playerName","clubName","playerAge","position","minPlayed","minAvailable","minPer","DoB","marketValue"
"Daniel Camara Bos","FC Emmen",20,"Right-Back",0,1710,0,1999-05-24,50000
"Daniel Höegh","SC Heerenveen",29,"Centre-Back",49,1800,0.027,1991-01-06,1e+06
"Daniel Schwaab","PSV Eindhoven",31,"Centre-Back",1201,2880,0.417,1988-08-23,3500000
"Daniël van Kaam","FC Groningen",19,"Attacking Midfield",221,1800,0.123,2000-06-23,2e+05
"Danilho Doekhi","Vitesse Arnhem",21,"Centre-Back",1795,1800,0.997,1998-06-30,9e+05
"Danny Bakker","ADO Den Haag",24,"Central Midfield",1153,1710,0.674,1995-01-16,8e+05
"Dante Rigo","Sparta Rotterdam",21,"Central Midfield",644,1800,0.358,1998-12-11,9e+05
"Dario van den Buijs","Heracles Almelo",24,"Centre-Back",501,1800,0.278,1995-09-12,8e+05
"Darren Maatsen","RKC Waalwijk",28,"Right Winger",1011,1710,0.591,1991-01-30,350000
"Darryl Lachman","PEC Zwolle",30,"Centre-Back",1264,1800,0.702,1989-11-11,7e+05
"David Jensen","FC Utrecht",27,"Goalkeeper",300,1980,0.152,1992-03-25,1e+06
"David Neres","Ajax Amsterdam",22,"Right Winger",1063,2700,0.394,1997-03-03,4.5e+07
"Dean Huiberts","PEC Zwolle",19,"Central Midfield",588,1800,0.327,2000-05-16,4e+05
"Dehninio Muringen","ADO Den Haag",20,"Centre-Back",55,1710,0.032,1999-02-01,50000
"Dennis Johnsen","PEC Zwolle",21,"Left Winger",1135,1800,0.631,1998-02-17,9e+05
"Dennis Telgenkamp","FC Emmen",32,"Goalkeeper",1710,1710,1,1987-05-09,2e+05
"Denzel Dumfries","PSV Eindhoven",23,"Right-Back",2767,2880,0.961,1996-04-18,13500000
"Deroy Duarte","Sparta Rotterdam",20,"Central Midfield",342,1800,0.19,1999-07-04,8e+05
"Desevio Payne","FC Emmen",24,"Right-Back",56,1710,0.033,1995-11-30,1e+05
"Destan Bajselmani","PEC Zwolle",20,"Right-Back",205,1800,0.114,1999-05-13,75000
"Deyovaisio Zeefuik","FC Groningen",21,"Right-Back",1755,1800,0.975,1998-03-11,2e+06
"Dimitrios Ioannidis","Fortuna Sittard",19,"Central Midfield",44,1800,0.024,2000-02-13,1e+05
"Dion Malone","ADO Den Haag",30,"Defensive Midfield",1161,1710,0.679,1989-02-13,7e+05
"Dirk Abels","Sparta Rotterdam",22,"Right-Back",1610,1800,0.894,1997-06-13,5e+05
"Django Warmerdam","FC Groningen",24,"Left-Back",1327,1800,0.737,1995-09-02,8e+05
"Djibril Dianessy","Fortuna Sittard",23,"Right Winger",0,1800,0,1996-03-29,3e+05
"Dominik Kotarski","Ajax Amsterdam",19,"Goalkeeper",0,2700,0,2000-02-10,1e+06
"Donny Gorter","ADO Den Haag",31,"Left-Back",0,1710,0,1988-06-15,2e+05
"Donny van de Beek","Ajax Amsterdam",22,"Attacking Midfield",2192,2700,0.812,1997-04-18,5.5e+07
"Donyell Malen","PSV Eindhoven",20,"Centre-Forward",2083,2880,0.723,1999-01-19,2.8e+07
"Dries Saddiki","Willem II Tilburg",23,"Central Midfield",1576,1800,0.876,1996-08-09,8e+05
"Dusan Tadic","Ajax Amsterdam",31,"Left Winger",2622,2700,0.971,1988-11-20,2.5e+07
"Dylan Ryan","Willem II Tilburg",19,"Centre-Back",0,1800,0,2000-06-10,1e+05
"Dylan Vente","Feyenoord Rotterdam",20,"Centre-Forward",64,2610,0.025,1999-05-09,8e+05
"Dylan Vente","RKC Waalwijk",20,"Centre-Forward",911,1710,0.533,1999-05-09,8e+05
"Edgar Ié","Feyenoord Rotterdam",25,"Centre-Back",1189,2610,0.456,1994-05-01,3e+06
"Edson Álvarez","Ajax Amsterdam",22,"Centre-Back",924,2700,0.342,1997-10-24,1.3e+07
"Elber Evora","Feyenoord Rotterdam",20,"Goalkeeper",0,2610,0,1999-12-02,75000
"Eli Dasa","Vitesse Arnhem",27,"Right-Back",573,1800,0.318,1992-12-03,1e+06
"Elson Hooi","ADO Den Haag",28,"Right Winger",773,1710,0.452,1991-10-01,6e+05
"Elton Kabangu","Willem II Tilburg",21,"Left Winger",36,1800,0.02,1998-02-08,4e+05
"Emil Berggreen","FC Twente Enschede",26,"Centre-Forward",517,1800,0.287,1993-05-10,5e+05
"Emil Frederiksen","SC Heerenveen",19,"Attacking Midfield",0,1800,0,2000-09-05,150000
"Eric Botteghin","Feyenoord Rotterdam",32,"Centre-Back",2178,2610,0.834,1987-08-31,1e+06
"Érick Gutiérrez","PSV Eindhoven",24,"Central Midfield",1628,2880,0.565,1995-06-15,6500000
"Erik Falkenburg","ADO Den Haag",31,"Attacking Midfield",818,1710,0.478,1988-05-05,5e+05
"Etiënne Reijnen","PEC Zwolle",32,"Centre-Back",264,1800,0.147,1987-04-05,4e+05
"Etienne Vaessen","RKC Waalwijk",24,"Goalkeeper",1482,1710,0.867,1995-07-26,450000
"Fabian Sporkslede","RKC Waalwijk",26,"Right-Back",270,1710,0.158,1993-08-03,4e+05
"Felix Passlack","Fortuna Sittard",21,"Right-Back",1637,1800,0.909,1998-05-29,1500000
"Ferdy Druijf","AZ Alkmaar",21,"Centre-Forward",389,2790,0.139,1998-02-12,1500000
"Ferhat Görgülü","FC Emmen",28,"Centre-Back",314,1710,0.184,1991-10-28,50000
"Fernando Lewis","Willem II Tilburg",26,"Right-Back",270,1800,0.15,1993-01-31,9e+05
"Filip Bednarek","SC Heerenveen",27,"Goalkeeper",0,1800,0,1992-09-26,250000
"Filip Ugrinic","FC Emmen",21,"Central Midfield",589,1710,0.344,1999-01-05,6e+05
"Freddy Quispel","FC Emmen",19,"Centre-Forward",27,1710,0.016,2000-10-23,50000
"Fredrik Midtsjö","AZ Alkmaar",26,"Central Midfield",2578,2790,0.924,1993-08-11,7e+06
"Freek Heerkens","Willem II Tilburg",30,"Centre-Back",1800,1800,1,1989-09-13,6e+05
"Gabriel Gudmundsson","FC Groningen",20,"Right Winger",401,1800,0.223,1999-04-29,6e+05
"Gastón Pereiro","PSV Eindhoven",24,"Attacking Midfield",345,2880,0.12,1995-06-11,1e+07
"George Cox","Fortuna Sittard",21,"Left-Back",1344,1800,0.747,1998-01-14,75000
"George Johnston","Feyenoord Rotterdam",21,"Centre-Back",0,2610,0,1998-09-01,250000
"Georgios Strezos","Willem II Tilburg",24,"Goalkeeper",0,1800,0,1995-07-06,4e+05
"Giorgi Aburjania","FC Twente Enschede",25,"Central Midfield",387,1800,0.215,1995-01-02,6e+05
"Giovanni Troupée","FC Utrecht",21,"Right-Back",177,1980,0.089,1998-03-20,9e+05
"Glenn Bijl","FC Emmen",24,"Right-Back",1521,1710,0.889,1995-07-13,1e+06
"Godfried Roemeratoe","FC Twente Enschede",20,"Defensive Midfield",1185,1800,0.658,1999-08-19,8e+05
"Grégoire Amiot","Fortuna Sittard",24,"Centre-Back",498,1800,0.277,1995-05-10,3e+05
"Gustavo Hamer","PEC Zwolle",22,"Central Midfield",1550,1800,0.861,1997-06-24,750000
"Gyrano Kerk","FC Utrecht",24,"Right Winger",1844,1980,0.931,1995-12-02,5e+06
"Hakim Ziyech","Ajax Amsterdam",26,"Right Winger",2243,2700,0.831,1993-03-19,5e+07
"Hakon Evjen","AZ Alkmaar",19,"Central Midfield",0,2790,0,2000-02-14,2500000
"Hamdi Akujobi","SC Heerenveen",19,"Defensive Midfield",20,1800,0.011,2000-01-20,150000
"Hannes Delcroix","RKC Waalwijk",20,"Centre-Back",1530,1710,0.895,1999-02-28,5e+05
"Hans Mulder","RKC Waalwijk",32,"Central Midfield",909,1710,0.532,1987-04-27,2e+05
"Haris Vuckic","FC Twente Enschede",27,"Attacking Midfield",1483,1800,0.824,1992-08-21,8e+05
"Hassane Bandé","Ajax Amsterdam",21,"Left Winger",0,2700,0,1998-10-30,5e+06
"Henk Bos","FC Emmen",27,"Central Midfield",125,1710,0.073,1992-11-12,125000
"Henrico Drost","RKC Waalwijk",32,"Centre-Back",225,1710,0.132,1987-01-21,2e+05
"Hicham Faik","SC Heerenveen",27,"Defensive Midfield",1749,1800,0.972,1992-03-19,1e+06
"Hilal Ben Moussa","FC Emmen",27,"Central Midfield",0,1710,0,1992-05-22,250000
"Hilary Gong","Vitesse Arnhem",21,"Right Winger",24,1800,0.013,1998-10-10,450000
"Ibrahim Afellay","PSV Eindhoven",33,"Left Midfield",89,2880,0.031,1986-04-02,1e+06
"Ibrahim Dresevic","SC Heerenveen",22,"Centre-Back",1780,1800,0.989,1997-01-24,1e+06
"Iliass Bel Hassani","PEC Zwolle",27,"Attacking Midfield",1021,1800,0.567,1992-09-16,8e+05
"Ingo van Weert","RKC Waalwijk",25,"Centre-Back",210,1710,0.123,1994-02-08,150000
"Issah Abass","FC Utrecht",21,"Centre-Forward",730,1980,0.369,1998-09-26,9e+05
"Jacky Donkor","Fortuna Sittard",21,"Left Winger",4,1800,0.002,1998-11-12,75000
"Jafar Arias","FC Emmen",24,"Centre-Forward",702,1710,0.411,1995-06-16,5e+05
"Jamal Blackman","Vitesse Arnhem",26,"Goalkeeper",0,1800,0,1993-10-27,5e+05
"James McGarry","Willem II Tilburg",21,"Left-Back",6,1800,0.003,1998-04-09,2e+05
"Jan-Arie van der Heijden","Feyenoord Rotterdam",31,"Centre-Back",630,2610,0.241,1988-03-03,1e+06
"Jan-Niklas Beste","FC Emmen",21,"Left-Back",409,1710,0.239,1999-01-04,4e+05
"Jan de Boer","FC Groningen",19,"Goalkeeper",0,1800,0,2000-05-20,25000
"Jan Hoekstra","FC Groningen",21,"Goalkeeper",90,1800,0.05,1998-08-04,3e+05
"Jan Ras","SC Heerenveen",20,"Central Midfield",45,1800,0.025,1999-01-28,75000
"Janis Blaswich","Heracles Almelo",28,"Goalkeeper",1620,1800,0.9,1991-05-02,1e+06
"Jannik Pohl","FC Groningen",23,"Centre-Forward",0,1800,0,1996-04-06,3e+05
"Jarno Westerman","PEC Zwolle",17,"Right Winger",109,1800,0.061,2002-06-08,2e+05
"Jasper Schendelaar","AZ Alkmaar",19,"Goalkeeper",0,2790,0,2000-09-02,750000
"Javier Espinosa","FC Twente Enschede",27,"Attacking Midfield",1256,1800,0.698,1992-09-19,1250000
"Jay-Roy Grot","Vitesse Arnhem",21,"Centre-Forward",871,1800,0.484,1998-03-13,9e+05
"Jean-Christophe Bahebeck","FC Utrecht",26,"Centre-Forward",454,1980,0.229,1993-05-01,1500000
"Jeff Hardeveld","Heracles Almelo",24,"Left-Back",58,1800,0.032,1995-02-27,3e+05
"Jeffrey de Lange","FC Twente Enschede",21,"Goalkeeper",0,1800,0,1998-04-01,50000
"Jelle van Benthem","Heracles Almelo",20,"Centre-Back",0,1800,0,1999-01-22,50000
"Jens Odgaard","SC Heerenveen",20,"Centre-Forward",1656,1800,0.92,1999-03-31,2500000
"Jens Toornstra","Feyenoord Rotterdam",30,"Attacking Midfield",1608,2610,0.616,1989-04-04,4e+06
"Jeremy Cijntje","Heracles Almelo",22,"Left Winger",41,1800,0.023,1998-01-08,3e+05
"Jeroen Houwen","Vitesse Arnhem",23,"Goalkeeper",0,1800,0,1996-02-18,4e+05
"Jeroen Zoet","PSV Eindhoven",29,"Goalkeeper",1890,2880,0.656,1991-01-06,8e+06
"Jesper Drost","Heracles Almelo",26,"Attacking Midfield",0,1800,0,1993-01-11,6e+05
"Jesse Bosch","FC Twente Enschede",19,"Central Midfield",27,1800,0.015,2000-02-01,50000
"João Queirós","Willem II Tilburg",21,"Centre-Back",0,1800,0,1998-04-22,5e+05
"Joel Asoro","FC Groningen",20,"Centre-Forward",761,1800,0.423,1999-04-27,1500000
"Joël Drommel","FC Twente Enschede",23,"Goalkeeper",1728,1800,0.96,1996-11-16,1250000
"Joel Latibeaudiere","FC Twente Enschede",20,"Centre-Back",531,1800,0.295,2000-01-06,1e+05
"Joël Piroe","Sparta Rotterdam",20,"Centre-Forward",293,1800,0.163,1999-08-02,8e+05
"Joël Piroe","PSV Eindhoven",20,"Centre-Forward",0,2880,0,1999-08-02,8e+05
"Joël Veltman","Ajax Amsterdam",27,"Centre-Back",2332,2700,0.864,1992-01-15,1e+07
"Joey Konings","Heracles Almelo",21,"Centre-Forward",659,1800,0.366,1998-04-21,5e+05
"Joey Veerman","SC Heerenveen",21,"Defensive Midfield",1169,1800,0.649,1998-11-19,1250000
"John Goossens","ADO Den Haag",31,"Attacking Midfield",1311,1710,0.767,1988-07-25,5e+05
"Jonas Svensson","AZ Alkmaar",26,"Right-Back",2256,2790,0.809,1993-03-06,5e+06
"Jordan Teze","PSV Eindhoven",20,"Right-Back",178,2880,0.062,1999-09-30,5e+05
"Jordens Peters","Willem II Tilburg",32,"Centre-Back",1665,1800,0.925,1987-05-03,750000
"Jordy Bruijn","SC Heerenveen",23,"Central Midfield",645,1800,0.358,1996-07-23,7e+05
"Jordy Clasie","AZ Alkmaar",28,"Defensive Midfield",869,2790,0.311,1991-06-27,3e+06
"Joris Kramer","AZ Alkmaar",23,"Centre-Back",27,2790,0.01,1996-08-02,3e+05
"Joris van Overeem","FC Utrecht",25,"Central Midfield",955,1980,0.482,1994-06-01,1750000
"Jorn Brondeel","FC Twente Enschede",26,"Goalkeeper",69,1800,0.038,1993-09-07,3e+05
"Jorrit Hendrix","PSV Eindhoven",24,"Defensive Midfield",918,2880,0.319,1995-02-06,6e+06
"Jorrit Smeets","Fortuna Sittard",24,"Defensive Midfield",1626,1800,0.903,1995-03-25,650000
"Julian Lelieveld","Vitesse Arnhem",22,"Right-Back",1052,1800,0.584,1997-11-24,5e+05
"Julio Pleguezuelo","FC Twente Enschede",22,"Centre-Back",878,1800,0.488,1997-01-26,6e+05
"Jurgen Ekkelenkamp","Ajax Amsterdam",19,"Attacking Midfield",171,2700,0.063,2000-04-05,1500000
"Jurgen Mattheij","Sparta Rotterdam",26,"Centre-Back",1704,1800,0.947,1993-04-01,8e+05
"Juriën Gaari","RKC Waalwijk",26,"Right-Back",1220,1710,0.713,1993-12-23,5e+05
"Justin Bijlow","Feyenoord Rotterdam",21,"Goalkeeper",0,2610,0,1998-01-22,3e+06
"Justin Hoogma","FC Utrecht",21,"Centre-Back",1699,1980,0.858,1998-06-11,2500000
"Justin Lonwijk","FC Utrecht",20,"Attacking Midfield",174,1980,0.088,1999-12-21,5e+05
"Kaj Sierhuis","FC Groningen",21,"Centre-Forward",1058,1800,0.588,1998-04-27,1e+06
"Karim Coulibaly","Willem II Tilburg",26,"Left Winger",9,1800,0.005,1993-06-03,150000
"Kees Heemskerk","RKC Waalwijk",28,"Goalkeeper",228,1710,0.133,1991-05-02,2e+05
"Keito Nakamura","FC Twente Enschede",19,"Left Winger",930,1800,0.517,2000-07-28,9e+05
"Kenneth Paal","PEC Zwolle",22,"Left-Back",1210,1800,0.672,1997-06-24,9e+05
"Kenneth Vermeer","Feyenoord Rotterdam",33,"Goalkeeper",2250,2610,0.862,1986-01-10,2e+06
"Kenzo Goudmijn","AZ Alkmaar",18,"Central Midfield",20,2790,0.007,2001-12-18,6e+05
"Kevin Vermeulen","RKC Waalwijk",29,"Attacking Midfield",174,1710,0.102,1990-11-20,250000
"Keziah Veendorp","FC Emmen",22,"Centre-Back",1262,1710,0.738,1997-02-17,6e+05
"Khalid Karami","Sparta Rotterdam",30,"Right-Back",430,1800,0.239,1989-12-29,5e+05
"Kik Pierie","Ajax Amsterdam",19,"Centre-Back",0,2700,0,2000-07-20,3e+06
"Kjell Scherpen","Ajax Amsterdam",19,"Goalkeeper",0,2700,0,2000-01-23,1500000
"Klaas-Jan Huntelaar","Ajax Amsterdam",36,"Centre-Forward",1002,2700,0.371,1983-08-12,1e+06
"Ko Itakura","FC Groningen",22,"Centre-Back",1530,1800,0.85,1997-01-27,1e+06
"Koen Bucker","Heracles Almelo",23,"Goalkeeper",0,1800,0,1996-06-18,50000
"Konstantinos Lamprou","Vitesse Arnhem",28,"Goalkeeper",180,1800,0.1,1991-09-18,7e+05
"Konstantinos Mitroglou","PSV Eindhoven",31,"Centre-Forward",264,2880,0.092,1988-03-12,3e+06
"Laros Duarte","Sparta Rotterdam",22,"Central Midfield",601,1800,0.334,1997-02-28,7e+05
"Lars Nieuwpoort","RKC Waalwijk",25,"Centre-Back",222,1710,0.13,1994-10-29,250000
"Lars Unnerstall","PSV Eindhoven",29,"Goalkeeper",840,2880,0.292,1990-07-20,3500000
"Lars Veldwijk","Sparta Rotterdam",28,"Centre-Forward",531,1800,0.295,1991-08-21,7e+05
"Lassana Faye","Sparta Rotterdam",21,"Left-Back",1674,1800,0.93,1998-06-15,4e+05
"Lassina Traoré","Ajax Amsterdam",18,"Centre-Forward",105,2700,0.039,2001-01-12,3500000
"Leandro Fernandes","Fortuna Sittard",20,"Central Midfield",22,1800,0.012,1999-12-25,175000
"Lennart Czyborra","Heracles Almelo",20,"Left-Back",1742,1800,0.968,1999-05-03,2e+06
"Lennart Thy","PEC Zwolle",27,"Centre-Forward",1370,1800,0.761,1992-02-25,850000
"Lennerd Daneels","RKC Waalwijk",21,"Left Winger",158,1710,0.092,1998-04-10,1e+05
"Leon Bergsma","AZ Alkmaar",22,"Centre-Back",0,2790,0,1997-01-25,3e+05
"Leon Guwara","FC Utrecht",23,"Left-Back",998,1980,0.504,1996-06-28,9e+05
"Leon Sopic","FC Emmen",19,"Centre-Back",2,1710,0.001,2000-10-28,75000
"Leroy Fer","Feyenoord Rotterdam",30,"Central Midfield",2037,2610,0.78,1990-01-05,4500000
"Lex Immers","ADO Den Haag",33,"Attacking Midfield",1574,1710,0.92,1986-06-08,7e+05
"Lindon Selahi","FC Twente Enschede",20,"Central Midfield",1357,1800,0.754,1999-02-26,6e+05
"Lisandro Martínez","Ajax Amsterdam",21,"Centre-Back",2498,2700,0.925,1998-01-18,2e+07
"Lorenzo Burnet","FC Emmen",28,"Left-Back",1045,1710,0.611,1991-01-11,4e+05
"Lorenzo van Kleef","ADO Den Haag",18,"Central Midfield",38,1710,0.022,2001-01-26,75000
"Lucas Schoofs","Heracles Almelo",23,"Defensive Midfield",0,1800,0,1997-01-03,250000
"Lucas Woudenberg","SC Heerenveen",25,"Left-Back",840,1800,0.467,1994-04-25,8e+05
"Luciano Narsingh","Feyenoord Rotterdam",29,"Right Winger",976,2610,0.374,1990-09-13,2e+06
"Luciano Slagveer","FC Emmen",26,"Right Winger",536,1710,0.313,1993-10-05,5e+05
"Luis Sinisterra","Feyenoord Rotterdam",20,"Left Winger",2035,2610,0.78,1999-06-17,3e+06
"Lutsharel Geertruida","Feyenoord Rotterdam",19,"Right-Back",1229,2610,0.471,2000-07-18,650000
"Luuk Koopmans","PSV Eindhoven",26,"Goalkeeper",0,2880,0,1993-11-18,6e+05
"Luuk Koopmans","ADO Den Haag",26,"Goalkeeper",1170,1710,0.684,1993-11-18,6e+05
"Maarten Paes","FC Utrecht",21,"Goalkeeper",1710,1980,0.864,1998-05-14,1500000
"Maarten Rieder","ADO Den Haag",20,"Central Midfield",0,1710,0,1999-09-29,75000
"Marc Olivier Doue","PEC Zwolle",19,"Centre-Back",2,1800,0.001,2000-10-11,50000
"Marco Bizot","AZ Alkmaar",28,"Goalkeeper",2735,2790,0.98,1991-03-10,6e+06
"Marco van Duin","FC Groningen",32,"Goalkeeper",0,1800,0,1987-02-11,75000
"Marcos Senesi","Feyenoord Rotterdam",22,"Centre-Back",1148,2610,0.44,1997-05-10,7e+06
"Mario Bilate","RKC Waalwijk",28,"Centre-Forward",737,1710,0.431,1991-07-16,4e+05
"Marios Vrousai","Willem II Tilburg",21,"Right Winger",920,1800,0.511,1998-07-02,1e+06
"Mark Diemers","Fortuna Sittard",26,"Attacking Midfield",1799,1800,0.999,1993-10-11,1750000
"Mark van der Maarel","FC Utrecht",30,"Right-Back",1008,1980,0.509,1989-08-12,8e+05
"Marko Kolar","FC Emmen",24,"Centre-Forward",890,1710,0.52,1995-05-31,4e+05
"Martin Angha","Fortuna Sittard",25,"Centre-Back",1069,1800,0.594,1994-01-22,7e+05
"Matos","FC Twente Enschede",24,"Left-Back",180,1800,0.1,1995-05-06,8e+05
"Mats Knoester","Heracles Almelo",21,"Centre-Back",1656,1800,0.92,1998-11-19,6e+05
"Mats Köhlert","Willem II Tilburg",21,"Left Winger",1682,1800,0.934,1998-05-02,1250000
"Mats van Kins","ADO Den Haag",21,"Central Midfield",0,1710,0,1998-12-17,1e+05
"Matthias Hamrol","FC Emmen",26,"Goalkeeper",0,1710,0,1993-12-31,4e+05
"Matus Bero","Vitesse Arnhem",24,"Central Midfield",1570,1800,0.872,1995-09-06,2e+06
"Mauro Júnior","Heracles Almelo",20,"Attacking Midfield",1633,1800,0.907,1999-05-06,2500000
